datasheet.jpg
  0.99930000,  3.35890000
  0.99340000,  3.27050000
  0.98400000,  3.17410000
  0.97010000,  3.11790000
  0.94830000,  3.05360000
  0.92420000,  2.99730000
  0.89360000,  2.91700000
  0.85130000,  2.82860000
  0.81050000,  2.71610000
  0.75870000,  2.59550000
  0.69680000,  2.47500000
  0.61300000,  2.26610000
  0.56780000,  2.14550000
  0.54300000,  2.10540000
  0.50730000,  2.04110000
  0.46140000,  1.92860000
  0.39500000,  1.81610000
  0.30830000,  1.64730000
  0.26090000,  1.55090000
  0.21650000,  1.44640000
  0.17710000,  1.34200000
  0.14800000,  1.24550000
  0.12170000,  1.11700000
  0.09330000,  0.96430000
  0.06340000,  0.74730000
  0.04590000,  0.55450000
  0.02770000,  0.36160000
  0.01600000,  0.11250000
  0.00800000, -0.01610000
