datasheet.jpg
  0.99930000,  3.56790000
  0.99490000,  3.51960000
  0.99130000,  3.44730000
  0.98100000,  3.40710000
  0.96210000,  3.35090000
  0.93220000,  3.26250000
  0.90160000,  3.18210000
  0.86370000,  3.08570000
  0.83450000,  3.00540000
  0.80760000,  2.91700000
  0.76680000,  2.85270000
  0.72230000,  2.74820000
  0.67860000,  2.66790000
  0.62970000,  2.55540000
  0.59260000,  2.49110000
  0.54880000,  2.37860000
  0.48250000,  2.26610000
  0.39360000,  2.10540000
  0.30170000,  1.97680000
  0.26090000,  1.91250000
  0.22890000,  1.84820000
  0.19750000,  1.77590000
  0.16910000,  1.68750000
  0.13990000,  1.59910000
  0.10790000,  1.49460000
  0.08380000,  1.35800000
  0.06710000,  1.20540000
  0.04810000,  0.98840000
  0.03430000,  0.82770000
  0.02410000,  0.64290000
  0.01530000,  0.45000000
  0.00800000,  0.27320000
  0.00220000,  0.12860000
  0.00070000, -0.02410000
